Cntry,CntryCo,Year,Curr,AttCode,AttName,AttValue
Anguilla,AIA,2009,East Caribbean Dollar,EXPC,Exports of goods and serices,"281,590,000"
Anguilla,AIA,2009,East Caribbean Dollar,IMPC,Imports of goods and serices,"515,340,000"
Albania,ALB,2007,Lek,POP,Population,"2,992,000"
Albania,ALB,2007,Lek,CHCUR,Final Consumption,"776,566,000,000"
Albania,ALB,2007,Lek,GCUR,Govt Collective Consumption Overall,"98,351,694,403"
Albania,ALB,2007,Lek,ICUR,Domestic Investment,"350,253,000,000"
Albania,ALB,2007,Lek,EXPC,Exports of goods and serices,"272,164,000,000"
Albania,ALB,2007,Lek,IMPC,Imports of goods and serices,"530,683,000,000"
Albania,ALB,2007,Lek,CACUR,Actual Household Consumption,"810,341,513,492"
Albania,ALB,2007,Lek,GCCUR,Govt Collective Consumption Public Goods,"64,576,180,911"
Albania,ALB,2008,Lek,POP,Population,"2,984,000"
Albania,ALB,2008,Lek,CHCUR,Final Consumption,"874,432,000,000"
Albania,ALB,2008,Lek,GCUR,Govt Collective Consumption Overall,"99,859,550,000"
Albania,ALB,2008,Lek,ICUR,Domestic Investment,"403,641,000,000"
Albania,ALB,2008,Lek,EXPC,Exports of goods and serices,"319,931,000,000"
Albania,ALB,2008,Lek,IMPC,Imports of goods and serices,"609,997,000,000"
Albania,ALB,2008,Lek,CACUR,Actual Household Consumption,"908,725,334,739"
Albania,ALB,2008,Lek,GCCUR,Govt Collective Consumption Public Goods,"65,566,215,261"
Albania,ALB,2009,Lek,POP,Population,"2,983,000"
Albania,ALB,2009,Lek,CHCUR,Final Consumption,"944,330,000,000"
Albania,ALB,2009,Lek,GCUR,Govt Collective Consumption Overall,"105,309,000,000"
Albania,ALB,2009,Lek,ICUR,Domestic Investment,"381,904,000,000"
Albania,ALB,2009,Lek,EXPC,Exports of goods and serices,"322,996,000,000"
Albania,ALB,2009,Lek,IMPC,Imports of goods and serices,"608,607,000,000"
Albania,ALB,2009,Lek,CACUR,Actual Household Consumption,"980,494,761,288"
Albania,ALB,2009,Lek,GCCUR,Govt Collective Consumption Public Goods,"69,144,238,712"
Andorra,AND,2007,Euro,POP,Population,"80,757"
Andorra,AND,2007,Euro,CHCUR,Final Consumption,"1,360,401,936"
Andorra,AND,2007,Euro,GCUR,Govt Collective Consumption Overall,"435,456,280"
Andorra,AND,2007,Euro,ICUR,Domestic Investment,"734,685,332"
Andorra,AND,2007,Euro,EXPC,Exports of goods and serices,"637,699,450"
Andorra,AND,2007,Euro,IMPC,Imports of goods and serices,"797,023,593"
Andorra,AND,2008,Euro,POP,Population,"92,700"
Andorra,AND,2008,Euro,CHCUR,Final Consumption,"1,448,447,888"
Andorra,AND,2008,Euro,GCUR,Govt Collective Consumption Overall,"494,372,649"
Andorra,AND,2008,Euro,ICUR,Domestic Investment,"737,123,619"
Andorra,AND,2008,Euro,EXPC,Exports of goods and serices,"670,755,152"
Andorra,AND,2008,Euro,IMPC,Imports of goods and serices,"816,587,387"
Andorra,AND,2009,Euro,POP,Population,"84,400"
Andorra,AND,2009,Euro,CHCUR,Final Consumption,"1,524,599,783"
Andorra,AND,2009,Euro,GCUR,Govt Collective Consumption Overall,"569,483,101"
Andorra,AND,2009,Euro,ICUR,Domestic Investment,"657,898,150"
Andorra,AND,2009,Euro,EXPC,Exports of goods and serices,"629,764,230"
Andorra,AND,2009,Euro,IMPC,Imports of goods and serices,"687,693,623"
United Arab Emirates,ARE,2007,UAE Dirham,POP,Population,"4,444,000"
United Arab Emirates,ARE,2007,UAE Dirham,CHCUR,Final Consumption,"350,347,000,000"
United Arab Emirates,ARE,2007,UAE Dirham,GCUR,Govt Collective Consumption Overall,"76,190,000,000"
United Arab Emirates,ARE,2007,UAE Dirham,ICUR,Domestic Investment,"255,997,000,000"
United Arab Emirates,ARE,2007,UAE Dirham,EXPC,Exports of goods and serices,"685,620,000,000"
United Arab Emirates,ARE,2007,UAE Dirham,IMPC,Imports of goods and serices,"610,128,000,000"
United Arab Emirates,ARE,2007,UAE Dirham,CACUR,Actual Household Consumption,"385,925,683,622"
United Arab Emirates,ARE,2007,UAE Dirham,GCCUR,Govt Collective Consumption Public Goods,"40,611,316,378"
United Arab Emirates,ARE,2008,UAE Dirham,POP,Population,"4,621,000"
United Arab Emirates,ARE,2008,UAE Dirham,CHCUR,Final Consumption,"425,183,000,000"
United Arab Emirates,ARE,2008,UAE Dirham,GCUR,Govt Collective Consumption Overall,"86,570,000,000"
United Arab Emirates,ARE,2008,UAE Dirham,ICUR,Domestic Investment,"315,662,000,000"
United Arab Emirates,ARE,2008,UAE Dirham,EXPC,Exports of goods and serices,"913,748,000,000"
United Arab Emirates,ARE,2008,UAE Dirham,IMPC,Imports of goods and serices,"806,901,000,000"
United Arab Emirates,ARE,2008,UAE Dirham,CACUR,Actual Household Consumption,"465,608,864,827"
United Arab Emirates,ARE,2008,UAE Dirham,GCCUR,Govt Collective Consumption Public Goods,"46,144,135,173"
United Arab Emirates,ARE,2009,UAE Dirham,POP,Population,"4,798,000"
United Arab Emirates,ARE,2009,UAE Dirham,CHCUR,Final Consumption,"433,650,000,000"
United Arab Emirates,ARE,2009,UAE Dirham,GCUR,Govt Collective Consumption Overall,"88,125,301,205"
United Arab Emirates,ARE,2009,UAE Dirham,ICUR,Domestic Investment,"333,407,000,000"
United Arab Emirates,ARE,2009,UAE Dirham,EXPC,Exports of goods and serices,"769,628,000,000"
United Arab Emirates,ARE,2009,UAE Dirham,IMPC,Imports of goods and serices,"710,510,000,000"
United Arab Emirates,ARE,2009,UAE Dirham,CACUR,Actual Household Consumption,"474,802,148,716"
United Arab Emirates,ARE,2009,UAE Dirham,GCCUR,Govt Collective Consumption Public Goods,"46,973,152,489"
Argentina,ARG,2007,Argentine Peso,POP,Population,"40,048,816"
Argentina,ARG,2007,Argentine Peso,CHCUR,Final Consumption,"475,876,000,000"
Argentina,ARG,2007,Argentine Peso,GCUR,Govt Collective Consumption Overall,"105,013,000,000"
Argentina,ARG,2007,Argentine Peso,ICUR,Domestic Investment,"196,716,000,000"
Argentina,ARG,2007,Argentine Peso,EXPC,Exports of goods and serices,"200,080,000,000"
Argentina,ARG,2007,Argentine Peso,IMPC,Imports of goods and serices,"165,230,000,000"
Argentina,ARG,2007,Argentine Peso,CACUR,Actual Household Consumption,"514,990,078,589"
Argentina,ARG,2007,Argentine Peso,GCCUR,Govt Collective Consumption Public Goods,"65,898,921,411"
Argentina,ARG,2008,Argentine Peso,POP,Population,"40,482,000"
Argentina,ARG,2008,Argentine Peso,CHCUR,Final Consumption,"595,012,000,000"
Argentina,ARG,2008,Argentine Peso,GCUR,Govt Collective Consumption Overall,"138,827,000,000"
Argentina,ARG,2008,Argentine Peso,ICUR,Domestic Investment,"259,416,000,000"
Argentina,ARG,2008,Argentine Peso,EXPC,Exports of goods and serices,"252,772,000,000"
Argentina,ARG,2008,Argentine Peso,IMPC,Imports of goods and serices,"213,269,000,000"
Argentina,ARG,2008,Argentine Peso,CACUR,Actual Household Consumption,"646,720,742,616"
Argentina,ARG,2008,Argentine Peso,GCCUR,Govt Collective Consumption Public Goods,"87,118,257,384"
Argentina,ARG,2009,Argentine Peso,POP,Population,"40,914,000"
Argentina,ARG,2009,Argentine Peso,CHCUR,Final Consumption,"667,375,000,000"
Argentina,ARG,2009,Argentine Peso,GCUR,Govt Collective Consumption Overall,"174,002,000,000"
Argentina,ARG,2009,Argentine Peso,ICUR,Domestic Investment,"242,813,000,000"
Argentina,ARG,2009,Argentine Peso,EXPC,Exports of goods and serices,"244,569,000,000"
Argentina,ARG,2009,Argentine Peso,IMPC,Imports of goods and serices,"183,300,000,000"
Argentina,ARG,2009,Argentine Peso,CACUR,Actual Household Consumption,"732,185,336,841"
Argentina,ARG,2009,Argentine Peso,GCCUR,Govt Collective Consumption Public Goods,"109,191,663,159"
Armenia,ARM,2007,Armenian Dram,POP,Population,"2,971,650"
Armenia,ARM,2007,Armenian Dram,CHCUR,Final Consumption,"2,255,860,000,000"
Armenia,ARM,2007,Armenian Dram,GCUR,Govt Collective Consumption Overall,"320,383,000,000"
Armenia,ARM,2007,Armenian Dram,ICUR,Domestic Investment,"1,189,880,000,000"
Armenia,ARM,2007,Armenian Dram,EXPC,Exports of goods and serices,"604,210,000,000"
Armenia,ARM,2007,Armenian Dram,IMPC,Imports of goods and serices,"1,232,970,000,000"
Armenia,ARM,2007,Armenian Dram,CACUR,Actual Household Consumption,"2,372,061,000,000"
Armenia,ARM,2007,Armenian Dram,GCCUR,Govt Collective Consumption Public Goods,"204,181,978,872"
Armenia,ARM,2008,Armenian Dram,POP,Population,"2,969,000"
Armenia,ARM,2008,Armenian Dram,CHCUR,Final Consumption,"2,553,780,000,000"
Armenia,ARM,2008,Armenian Dram,GCUR,Govt Collective Consumption Overall,"365,001,000,000"
Armenia,ARM,2008,Armenian Dram,ICUR,Domestic Investment,"1,458,380,000,000"
Armenia,ARM,2008,Armenian Dram,EXPC,Exports of goods and serices,"536,915,000,000"
Armenia,ARM,2008,Armenian Dram,IMPC,Imports of goods and serices,"1,450,690,000,000"
Armenia,ARM,2008,Armenian Dram,CACUR,Actual Household Consumption,"2,686,163,700,000"
Armenia,ARM,2008,Armenian Dram,GCCUR,Govt Collective Consumption Public Goods,"232,617,293,896"
Armenia,ARM,2009,Armenian Dram,POP,Population,"2,967,000"
Armenia,ARM,2009,Armenian Dram,CHCUR,Final Consumption,"2,523,530,000,000"
Armenia,ARM,2009,Armenian Dram,GCUR,Govt Collective Consumption Overall,"391,180,000,000"
Armenia,ARM,2009,Armenian Dram,ICUR,Domestic Investment,"1,048,110,000,000"
Armenia,ARM,2009,Armenian Dram,EXPC,Exports of goods and serices,"480,711,000,000"
Armenia,ARM,2009,Armenian Dram,IMPC,Imports of goods and serices,"1,345,270,000,000"
Armenia,ARM,2009,Armenian Dram,CACUR,Actual Household Consumption,"2,665,408,700,000"
Armenia,ARM,2009,Armenian Dram,GCCUR,Govt Collective Consumption Public Goods,"249,301,325,274"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,POP,Population,"83,425"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,CHCUR,Final Consumption,"1,304,400,000"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,GCUR,Govt Collective Consumption Overall,"556,030,000"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,ICUR,Domestic Investment,"2,247,150,000"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,EXPC,Exports of goods and serices,"1,567,870,000"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,IMPC,Imports of goods and serices,"2,557,500,000"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,CACUR,Actual Household Consumption,"1,507,217,756"
Antigua and Barbuda,ATG,2007,East Caribbean Dollar,GCCUR,Govt Collective Consumption Public Goods,"353,212,244"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,POP,Population,"84,600"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,CHCUR,Final Consumption,"989,670,000"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,GCUR,Govt Collective Consumption Overall,"610,280,000"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,ICUR,Domestic Investment,"2,571,850,000"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,EXPC,Exports of goods and serices,"1,595,060,000"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,IMPC,Imports of goods and serices,"2,517,910,000"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,CACUR,Actual Household Consumption,"1,212,276,010"
Antigua and Barbuda,ATG,2008,East Caribbean Dollar,GCCUR,Govt Collective Consumption Public Goods,"387,673,990"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,POP,Population,"85,700"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,CHCUR,Final Consumption,"778,290,000"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,GCUR,Govt Collective Consumption Overall,"591,970,000"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,ICUR,Domestic Investment,"2,317,240,000"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,EXPC,Exports of goods and serices,"1,452,190,000"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,IMPC,Imports of goods and serices,"2,083,930,000"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,CACUR,Actual Household Consumption,"994,217,246"
Antigua and Barbuda,ATG,2009,East Caribbean Dollar,GCCUR,Govt Collective Consumption Public Goods,"376,042,754"
Australia,AUS,2007,Australian Dollar,POP,Population,"20,749,625"
Australia,AUS,2007,Australian Dollar,CHCUR,Final Consumption,"655,287,000,000"
Australia,AUS,2007,Australian Dollar,GCUR,Govt Collective Consumption Overall,"201,814,000,000"
Australia,AUS,2007,Australian Dollar,ICUR,Domestic Investment,"349,228,000,000"
Australia,AUS,2007,Australian Dollar,EXPC,Exports of goods and serices,"233,597,000,000"
Australia,AUS,2007,Australian Dollar,IMPC,Imports of goods and serices,"258,176,000,000"
Australia,AUS,2007,Australian Dollar,CACUR,Actual Household Consumption,"744,105,764,686"
Australia,AUS,2007,Australian Dollar,GCCUR,Govt Collective Consumption Public Goods,"112,995,235,314"
Australia,AUS,2008,Australian Dollar,POP,Population,"21,007,000"
Australia,AUS,2008,Australian Dollar,CHCUR,Final Consumption,"690,695,000,000"
Australia,AUS,2008,Australian Dollar,GCUR,Govt Collective Consumption Overall,"215,613,000,000"
Australia,AUS,2008,Australian Dollar,ICUR,Domestic Investment,"355,194,000,000"
Australia,AUS,2008,Australian Dollar,EXPC,Exports of goods and serices,"284,704,000,000"
Australia,AUS,2008,Australian Dollar,IMPC,Imports of goods and serices,"279,400,000,000"
Australia,AUS,2008,Australian Dollar,CACUR,Actual Household Consumption,"785,586,733,528"
Australia,AUS,2008,Australian Dollar,GCCUR,Govt Collective Consumption Public Goods,"120,721,266,472"
Australia,AUS,2009,Australian Dollar,POP,Population,"21,263,000"
Australia,AUS,2009,Australian Dollar,CHCUR,Final Consumption,"724,428,000,000"
Australia,AUS,2009,Australian Dollar,GCUR,Govt Collective Consumption Overall,"233,970,000,000"
Australia,AUS,2009,Australian Dollar,ICUR,Domestic Investment,"368,080,000,000"
Australia,AUS,2009,Australian Dollar,EXPC,Exports of goods and serices,"254,004,000,000"
Australia,AUS,2009,Australian Dollar,IMPC,Imports of goods and serices,"259,969,000,000"
Australia,AUS,2009,Australian Dollar,CACUR,Actual Household Consumption,"827,398,687,730"
Australia,AUS,2009,Australian Dollar,GCCUR,Govt Collective Consumption Public Goods,"130,999,312,270"
Austria,AUT,2007,Euro,POP,Population,"8,199,783"
Austria,AUT,2007,Euro,CHCUR,Final Consumption,"143,812,000,000"
Austria,AUT,2007,Euro,GCUR,Govt Collective Consumption Overall,"49,495,400,000"
Austria,AUT,2007,Euro,ICUR,Domestic Investment,"63,003,400,000"
Austria,AUT,2007,Euro,EXPC,Exports of goods and serices,"161,397,000,000"
Austria,AUT,2007,Euro,IMPC,Imports of goods and serices,"145,697,000,000"
Austria,AUT,2007,Euro,CACUR,Actual Household Consumption,"164,558,214,649"
Austria,AUT,2007,Euro,GCCUR,Govt Collective Consumption Public Goods,"28,749,185,351"
Austria,AUT,2008,Euro,POP,Population,"8,206,000"
Austria,AUT,2008,Euro,CHCUR,Final Consumption,"148,153,000,000"
Austria,AUT,2008,Euro,GCUR,Govt Collective Consumption Overall,"52,876,500,000"
Austria,AUT,2008,Euro,ICUR,Domestic Investment,"65,641,700,000"
Austria,AUT,2008,Euro,EXPC,Exports of goods and serices,"167,598,000,000"
Austria,AUT,2008,Euro,IMPC,Imports of goods and serices,"151,184,000,000"
Austria,AUT,2008,Euro,CACUR,Actual Household Consumption,"170,316,417,588"
Austria,AUT,2008,Euro,GCCUR,Govt Collective Consumption Public Goods,"30,713,082,412"
Austria,AUT,2009,Euro,POP,Population,"8,210,000"
Austria,AUT,2009,Euro,CHCUR,Final Consumption,"149,006,000,000"
Austria,AUT,2009,Euro,GCUR,Govt Collective Consumption Overall,"54,714,200,000"
Austria,AUT,2009,Euro,ICUR,Domestic Investment,"58,149,200,000"
Austria,AUT,2009,Euro,EXPC,Exports of goods and serices,"138,618,000,000"
Austria,AUT,2009,Euro,IMPC,Imports of goods and serices,"126,167,000,000"
Austria,AUT,2009,Euro,CACUR,Actual Household Consumption,"171,939,697,627"
Austria,AUT,2009,Euro,GCCUR,Govt Collective Consumption Public Goods,"31,780,502,373"
Azerbaijan,AZE,2007,Azerbaijanian Manat,POP,Population,"8,120,247"
Azerbaijan,AZE,2007,Azerbaijanian Manat,CHCUR,Final Consumption,"9,472,800,000"
Azerbaijan,AZE,2007,Azerbaijanian Manat,GCUR,Govt Collective Consumption Overall,"2,739,700,000"
Azerbaijan,AZE,2007,Azerbaijanian Manat,ICUR,Domestic Investment,"6,104,600,000"
Azerbaijan,AZE,2007,Azerbaijanian Manat,EXPC,Exports of goods and serices,"19,321,700,000"
Azerbaijan,AZE,2007,Azerbaijanian Manat,IMPC,Imports of goods and serices,"8,086,400,000"
Azerbaijan,AZE,2007,Azerbaijanian Manat,CACUR,Actual Household Consumption,"10,732,308,389"
Azerbaijan,AZE,2007,Azerbaijanian Manat,GCCUR,Govt Collective Consumption Public Goods,"1,480,191,611"
Azerbaijan,AZE,2008,Azerbaijanian Manat,POP,Population,"8,178,000"
Azerbaijan,AZE,2008,Azerbaijanian Manat,CHCUR,Final Consumption,"13,420,100,000"
Azerbaijan,AZE,2008,Azerbaijanian Manat,GCUR,Govt Collective Consumption Overall,"3,409,700,000"
Azerbaijan,AZE,2008,Azerbaijanian Manat,ICUR,Domestic Investment,"7,503,100,000"
Azerbaijan,AZE,2008,Azerbaijanian Manat,EXPC,Exports of goods and serices,"26,400,700,000"
Azerbaijan,AZE,2008,Azerbaijanian Manat,IMPC,Imports of goods and serices,"9,418,900,000"
Azerbaijan,AZE,2008,Azerbaijanian Manat,CACUR,Actual Household Consumption,"14,987,624,092"
Azerbaijan,AZE,2008,Azerbaijanian Manat,GCCUR,Govt Collective Consumption Public Goods,"1,842,175,908"
Azerbaijan,AZE,2009,Azerbaijanian Manat,POP,Population,"8,239,000"
Azerbaijan,AZE,2009,Azerbaijanian Manat,CHCUR,Final Consumption,"14,946,100,000"
Azerbaijan,AZE,2009,Azerbaijanian Manat,GCUR,Govt Collective Consumption Overall,"4,444,400,000"
Azerbaijan,AZE,2009,Azerbaijanian Manat,ICUR,Domestic Investment,"6,322,100,000"
Azerbaijan,AZE,2009,Azerbaijanian Manat,EXPC,Exports of goods and serices,"18,383,100,000"
Azerbaijan,AZE,2009,Azerbaijanian Manat,IMPC,Imports of goods and serices,"9,517,000,000"
Azerbaijan,AZE,2009,Azerbaijanian Manat,CACUR,Actual Household Consumption,"16,989,301,476"
Azerbaijan,AZE,2009,Azerbaijanian Manat,GCCUR,Govt Collective Consumption Public Goods,"2,401,198,524"
Burundi,BDI,2007,Burundi Franc,POP,Population,"8,783,000"
Burundi,BDI,2007,Burundi Franc,CHCUR,Final Consumption,"1,286,200,000,000"
Burundi,BDI,2007,Burundi Franc,GCUR,Govt Collective Consumption Overall,"155,651,000,000"
Burundi,BDI,2007,Burundi Franc,ICUR,Domestic Investment,"215,660,000,000"
Burundi,BDI,2007,Burundi Franc,EXPC,Exports of goods and serices,"91,073,000,000"
Burundi,BDI,2007,Burundi Franc,IMPC,Imports of goods and serices,"359,788,000,000"
Burundi,BDI,2007,Burundi Franc,CACUR,Actual Household Consumption,"1,326,931,900,000"
Burundi,BDI,2007,Burundi Franc,GCCUR,Govt Collective Consumption Public Goods,"114,919,071,284"
Burundi,BDI,2008,Burundi Franc,POP,Population,"9,139,000"
Burundi,BDI,2008,Burundi Franc,CHCUR,Final Consumption,"1,292,100,000,000"
Burundi,BDI,2008,Burundi Franc,GCUR,Govt Collective Consumption Overall,"156,300,000,000"
Burundi,BDI,2008,Burundi Franc,ICUR,Domestic Investment,"219,400,000,000"
Burundi,BDI,2008,Burundi Franc,EXPC,Exports of goods and serices,"86,400,000,000"
Burundi,BDI,2008,Burundi Franc,IMPC,Imports of goods and serices,"281,400,000,000"
Burundi,BDI,2008,Burundi Franc,CACUR,Actual Household Consumption,"1,333,001,800,000"
Burundi,BDI,2008,Burundi Franc,GCCUR,Govt Collective Consumption Public Goods,"115,398,236,065"
Burundi,BDI,2009,Burundi Franc,POP,Population,"9,511,000"
Burundi,BDI,2009,Burundi Franc,CHCUR,Final Consumption,"1,361,200,000,000"
