Cntry,CntryCo,AttName,AttCode,Year,AttValue
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,2009,24
Algeria,DZA,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,74.2
Algeria,DZA,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,74.4
Algeria,DZA,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,73
Algeria,DZA,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,13.2
Algeria,DZA,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,10.8
Algeria,DZA,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,12.1
Algeria,DZA,Cost to register property (% of property value),IC.RP.COST,2007,7.5
Algeria,DZA,Cost to register property (% of property value),IC.RP.COST,2008,7.5
Algeria,DZA,Cost to register property (% of property value),IC.RP.COST,2009,7.1
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,2007,..
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,2008,..
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,2009,..
American Samoa,ASM,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,..
American Samoa,ASM,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,..
American Samoa,ASM,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,..
American Samoa,ASM,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,..
American Samoa,ASM,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,..
American Samoa,ASM,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,..
American Samoa,ASM,Cost to register property (% of property value),IC.RP.COST,2007,..
American Samoa,ASM,Cost to register property (% of property value),IC.RP.COST,2008,..
American Samoa,ASM,Cost to register property (% of property value),IC.RP.COST,2009,..
Andorra,AND,Time required to start a business (days),IC.REG.DURS,2007,..
Andorra,AND,Time required to start a business (days),IC.REG.DURS,2008,..
Andorra,AND,Time required to start a business (days),IC.REG.DURS,2009,..
Andorra,AND,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,..
Andorra,AND,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,..
Andorra,AND,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,..
Andorra,AND,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,..
Andorra,AND,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,..
Andorra,AND,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,..
Andorra,AND,Cost to register property (% of property value),IC.RP.COST,2007,..
Andorra,AND,Cost to register property (% of property value),IC.RP.COST,2008,..
Andorra,AND,Cost to register property (% of property value),IC.RP.COST,2009,..
Angola,AGO,Time required to start a business (days),IC.REG.DURS,2007,83
Angola,AGO,Time required to start a business (days),IC.REG.DURS,2008,68
Angola,AGO,Time required to start a business (days),IC.REG.DURS,2009,68
Angola,AGO,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,52.2
Angola,AGO,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,52.2
Angola,AGO,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,52.2
Angola,AGO,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,343.7
Angola,AGO,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,196.8
Angola,AGO,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,151.1
Angola,AGO,Cost to register property (% of property value),IC.RP.COST,2007,11.5
Angola,AGO,Cost to register property (% of property value),IC.RP.COST,2008,11.6
Angola,AGO,Cost to register property (% of property value),IC.RP.COST,2009,11.4
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,2007,22
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,2008,22
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,2009,22
Antigua and Barbuda,ATG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,46.2
Antigua and Barbuda,ATG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,46.2
Antigua and Barbuda,ATG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,41
Antigua and Barbuda,ATG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,11.3
Antigua and Barbuda,ATG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,11.1
Antigua and Barbuda,ATG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,9.2
Antigua and Barbuda,ATG,Cost to register property (% of property value),IC.RP.COST,2007,10.9
Antigua and Barbuda,ATG,Cost to register property (% of property value),IC.RP.COST,2008,10.9
Antigua and Barbuda,ATG,Cost to register property (% of property value),IC.RP.COST,2009,10.8
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,2007,30
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,2008,30.5
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,2009,25.5
Argentina,ARG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,107.3
Argentina,ARG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,107.3
Argentina,ARG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,107.3
Argentina,ARG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,9.4
Argentina,ARG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,8.8
Argentina,ARG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,13.7
Argentina,ARG,Cost to register property (% of property value),IC.RP.COST,2007,7
Argentina,ARG,Cost to register property (% of property value),IC.RP.COST,2008,7
Argentina,ARG,Cost to register property (% of property value),IC.RP.COST,2009,7
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,2007,17
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,2008,17
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,2009,14
Armenia,ARM,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,38.9
Armenia,ARM,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,38.6
Armenia,ARM,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,38.6
Armenia,ARM,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,4.8
Armenia,ARM,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,3.6
Armenia,ARM,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,2.6
Armenia,ARM,Cost to register property (% of property value),IC.RP.COST,2007,0.4
Armenia,ARM,Cost to register property (% of property value),IC.RP.COST,2008,0.3
Armenia,ARM,Cost to register property (% of property value),IC.RP.COST,2009,0.3
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,2007,..
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,2008,..
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,2009,..
Aruba,ABW,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,..
Aruba,ABW,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,..
Aruba,ABW,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,..
Aruba,ABW,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,..
Aruba,ABW,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,..
Aruba,ABW,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,..
Aruba,ABW,Cost to register property (% of property value),IC.RP.COST,2007,..
Aruba,ABW,Cost to register property (% of property value),IC.RP.COST,2008,..
Aruba,ABW,Cost to register property (% of property value),IC.RP.COST,2009,..
Australia,AUS,Time required to start a business (days),IC.REG.DURS,2007,3
Australia,AUS,Time required to start a business (days),IC.REG.DURS,2008,2.5
Australia,AUS,Time required to start a business (days),IC.REG.DURS,2009,2.5
Australia,AUS,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,50.1
Australia,AUS,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,50
Australia,AUS,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,47.8
Australia,AUS,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,0.8
Australia,AUS,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,0.8
Australia,AUS,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,0.8
Australia,AUS,Cost to register property (% of property value),IC.RP.COST,2007,4.9
Australia,AUS,Cost to register property (% of property value),IC.RP.COST,2008,4.9
Australia,AUS,Cost to register property (% of property value),IC.RP.COST,2009,4.9
Austria,AUT,Time required to start a business (days),IC.REG.DURS,2007,25
Austria,AUT,Time required to start a business (days),IC.REG.DURS,2008,25
Austria,AUT,Time required to start a business (days),IC.REG.DURS,2009,25
Austria,AUT,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,51.1
Austria,AUT,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,51.1
Austria,AUT,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,51.6
Austria,AUT,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,5.4
Austria,AUT,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,5.1
Austria,AUT,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,5.1
Austria,AUT,Cost to register property (% of property value),IC.RP.COST,2007,4.5
Austria,AUT,Cost to register property (% of property value),IC.RP.COST,2008,4.5
Austria,AUT,Cost to register property (% of property value),IC.RP.COST,2009,4.5
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,2007,36
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,2008,10
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,2009,10
Azerbaijan,AZE,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,40.9
Azerbaijan,AZE,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,40.9
Azerbaijan,AZE,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,40.9
Azerbaijan,AZE,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,6.9
Azerbaijan,AZE,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,4.3
Azerbaijan,AZE,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,2.9
Azerbaijan,AZE,Cost to register property (% of property value),IC.RP.COST,2007,0.2
Azerbaijan,AZE,Cost to register property (% of property value),IC.RP.COST,2008,0.3
Azerbaijan,AZE,Cost to register property (% of property value),IC.RP.COST,2009,0.2
"Bahamas, The",BHS,Time required to start a business (days),IC.REG.DURS,2007,30.5
"Bahamas, The",BHS,Time required to start a business (days),IC.REG.DURS,2008,30.5
"Bahamas, The",BHS,Time required to start a business (days),IC.REG.DURS,2009,30.5
"Bahamas, The",BHS,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,42.9
"Bahamas, The",BHS,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,42.9
"Bahamas, The",BHS,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,42.9
"Bahamas, The",BHS,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,10.3
"Bahamas, The",BHS,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,9.8
"Bahamas, The",BHS,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,8.5
"Bahamas, The",BHS,Cost to register property (% of property value),IC.RP.COST,2007,12.5
"Bahamas, The",BHS,Cost to register property (% of property value),IC.RP.COST,2008,12.5
"Bahamas, The",BHS,Cost to register property (% of property value),IC.RP.COST,2009,12.5
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,2007,9
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,2008,9
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,2009,9
Bahrain,BHR,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,14.7
Bahrain,BHR,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,14.7
Bahrain,BHR,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,14.7
Bahrain,BHR,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,0.7
Bahrain,BHR,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,0.6
Bahrain,BHR,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,0.5
Bahrain,BHR,Cost to register property (% of property value),IC.RP.COST,2007,0.9
Bahrain,BHR,Cost to register property (% of property value),IC.RP.COST,2008,0.9
Bahrain,BHR,Cost to register property (% of property value),IC.RP.COST,2009,0.9
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,2007,67.5
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,2008,66.5
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,2009,43.5
Bangladesh,BGD,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,40.8
Bangladesh,BGD,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,39.9
Bangladesh,BGD,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,38.8
Bangladesh,BGD,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,46.2
Bangladesh,BGD,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,25.5
Bangladesh,BGD,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,28.6
Bangladesh,BGD,Cost to register property (% of property value),IC.RP.COST,2007,10.3
Bangladesh,BGD,Cost to register property (% of property value),IC.RP.COST,2008,10.4
Bangladesh,BGD,Cost to register property (% of property value),IC.RP.COST,2009,10.2
Bangladesh - Chittagong,BGD_Chit,Time required to start a business (days),IC.REG.DURS,2007,..
Bangladesh - Chittagong,BGD_Chit,Time required to start a business (days),IC.REG.DURS,2008,..
Bangladesh - Chittagong,BGD_Chit,Time required to start a business (days),IC.REG.DURS,2009,..
Bangladesh - Chittagong,BGD_Chit,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,..
Bangladesh - Chittagong,BGD_Chit,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,..
Bangladesh - Chittagong,BGD_Chit,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,..
Bangladesh - Chittagong,BGD_Chit,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,..
Bangladesh - Chittagong,BGD_Chit,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,..
Bangladesh - Chittagong,BGD_Chit,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,..
Bangladesh - Chittagong,BGD_Chit,Cost to register property (% of property value),IC.RP.COST,2007,..
Bangladesh - Chittagong,BGD_Chit,Cost to register property (% of property value),IC.RP.COST,2008,..
Bangladesh - Chittagong,BGD_Chit,Cost to register property (% of property value),IC.RP.COST,2009,..
Bangladesh - Dhaka,BGD_DHK,Time required to start a business (days),IC.REG.DURS,2007,67.5
Bangladesh - Dhaka,BGD_DHK,Time required to start a business (days),IC.REG.DURS,2008,66.5
Bangladesh - Dhaka,BGD_DHK,Time required to start a business (days),IC.REG.DURS,2009,43.5
Bangladesh - Dhaka,BGD_DHK,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,40.8
Bangladesh - Dhaka,BGD_DHK,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,39.9
Bangladesh - Dhaka,BGD_DHK,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,38.8
Bangladesh - Dhaka,BGD_DHK,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,46.2
Bangladesh - Dhaka,BGD_DHK,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,25.5
Bangladesh - Dhaka,BGD_DHK,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,28.6
Bangladesh - Dhaka,BGD_DHK,Cost to register property (% of property value),IC.RP.COST,2007,10.3
Bangladesh - Dhaka,BGD_DHK,Cost to register property (% of property value),IC.RP.COST,2008,10.4
Bangladesh - Dhaka,BGD_DHK,Cost to register property (% of property value),IC.RP.COST,2009,10.2
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,2007,..
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,2008,..
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,2009,..
Barbados,BRB,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,..
Barbados,BRB,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,..
Barbados,BRB,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,..
Barbados,BRB,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,..
Barbados,BRB,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,..
Barbados,BRB,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,..
Barbados,BRB,Cost to register property (% of property value),IC.RP.COST,2007,..
Barbados,BRB,Cost to register property (% of property value),IC.RP.COST,2008,..
Barbados,BRB,Cost to register property (% of property value),IC.RP.COST,2009,..
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,2007,49
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,2008,32
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,2009,11
Belarus,BLR,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,120.8
Belarus,BLR,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,117.4
Belarus,BLR,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,99.9
Belarus,BLR,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,9.5
Belarus,BLR,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,8.3
Belarus,BLR,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,2.1
Belarus,BLR,Cost to register property (% of property value),IC.RP.COST,2007,0.1
Belarus,BLR,Cost to register property (% of property value),IC.RP.COST,2008,0
Belarus,BLR,Cost to register property (% of property value),IC.RP.COST,2009,0
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,2007,4
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,2008,4
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,2009,4
Belgium,BEL,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,57.9
Belgium,BEL,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,55.9
Belgium,BEL,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,55.2
Belgium,BEL,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,5.6
Belgium,BEL,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,5.5
Belgium,BEL,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,5.6
Belgium,BEL,Cost to register property (% of property value),IC.RP.COST,2007,12.7
Belgium,BEL,Cost to register property (% of property value),IC.RP.COST,2008,12.7
Belgium,BEL,Cost to register property (% of property value),IC.RP.COST,2009,12.7
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,2007,43
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,2008,43
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,2009,43
Belize,BLZ,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,34.8
Belize,BLZ,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,33.2
Belize,BLZ,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,33.2
Belize,BLZ,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,37
Belize,BLZ,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,36.5
Belize,BLZ,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,35.3
Belize,BLZ,Cost to register property (% of property value),IC.RP.COST,2007,4.7
Belize,BLZ,Cost to register property (% of property value),IC.RP.COST,2008,4.7
Belize,BLZ,Cost to register property (% of property value),IC.RP.COST,2009,4.8
Benin,BEN,Time required to start a business (days),IC.REG.DURS,2007,34
Benin,BEN,Time required to start a business (days),IC.REG.DURS,2008,34
Benin,BEN,Time required to start a business (days),IC.REG.DURS,2009,34
Benin,BEN,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,72.1
Benin,BEN,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,72.1
Benin,BEN,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,68.4
Benin,BEN,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,197.1
Benin,BEN,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,198.1
Benin,BEN,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,157.3
Benin,BEN,Cost to register property (% of property value),IC.RP.COST,2007,11.9
Benin,BEN,Cost to register property (% of property value),IC.RP.COST,2008,11.9
Benin,BEN,Cost to register property (% of property value),IC.RP.COST,2009,11.8
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,2007,..
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,2008,..
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,2009,..
Bermuda,BMU,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,..
Bermuda,BMU,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,..
Bermuda,BMU,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,..
Bermuda,BMU,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,..
Bermuda,BMU,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,..
Bermuda,BMU,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,..
Bermuda,BMU,Cost to register property (% of property value),IC.RP.COST,2007,..
Bermuda,BMU,Cost to register property (% of property value),IC.RP.COST,2008,..
Bermuda,BMU,Cost to register property (% of property value),IC.RP.COST,2009,..
Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,2007,48
Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,2008,46
Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,2009,46
Bhutan,BTN,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,37.3
Bhutan,BTN,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,37.3
Bhutan,BTN,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,37.3
Bhutan,BTN,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,8.8
Bhutan,BTN,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,7.2
Bhutan,BTN,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,6.8
Bhutan,BTN,Cost to register property (% of property value),IC.RP.COST,2007,5
Bhutan,BTN,Cost to register property (% of property value),IC.RP.COST,2008,5
Bhutan,BTN,Cost to register property (% of property value),IC.RP.COST,2009,5
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,2007,49
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,2008,49
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,2009,49
Bolivia,BOL,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,80
Bolivia,BOL,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,80
Bolivia,BOL,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,80
Bolivia,BOL,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,130
Bolivia,BOL,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,107.4
Bolivia,BOL,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,94.8
Bolivia,BOL,Cost to register property (% of property value),IC.RP.COST,2007,4.9
Bolivia,BOL,Cost to register property (% of property value),IC.RP.COST,2008,4.9
Bolivia,BOL,Cost to register property (% of property value),IC.RP.COST,2009,4.8
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,2007,93
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,2008,99
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,2009,99
Bosnia and Herzegovina,BIH,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,42.8
Bosnia and Herzegovina,BIH,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,42.8
Bosnia and Herzegovina,BIH,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,25.9
Bosnia and Herzegovina,BIH,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,30.9
Bosnia and Herzegovina,BIH,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,31.6
Bosnia and Herzegovina,BIH,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,16.3
Bosnia and Herzegovina,BIH,Cost to register property (% of property value),IC.RP.COST,2007,5
Bosnia and Herzegovina,BIH,Cost to register property (% of property value),IC.RP.COST,2008,5.2
Bosnia and Herzegovina,BIH,Cost to register property (% of property value),IC.RP.COST,2009,5.2
Botswana,BWA,Time required to start a business (days),IC.REG.DURS,2007,105
Botswana,BWA,Time required to start a business (days),IC.REG.DURS,2008,74
Botswana,BWA,Time required to start a business (days),IC.REG.DURS,2009,59
